epoch ,time      ,train/box_loss ,train/seg_loss ,train/cls_loss ,train/dfl_loss ,train/sem_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,metrics/precision(M) ,metrics/recall(M) ,metrics/mAP50(M) ,metrics/mAP50-95(M) ,val/box_loss ,val/seg_loss ,val/cls_loss ,val/dfl_loss ,val/sem_loss ,lr/pg0     ,lr/pg1     ,lr/pg2
   18 , 3482.92  ,       1.01736 ,       3.28398 ,       1.74155 ,       1.41718 ,             0 ,             0.3167  ,          0.42107 ,         0.2939  ,            0.21455 ,             0.27494 ,          0.37523 ,         0.24457 ,            0.10862 ,     0.9489  ,     3.08635 ,     2.50308 ,     1.26804 ,           0 ,0.008317   ,0.008317   ,0.008317
   19 , 3676.97  ,       0.9993  ,       3.21884 ,       1.77115 ,       1.39097 ,             0 ,             0.31009 ,          0.35599 ,         0.28977 ,            0.21526 ,             0.2864  ,          0.35522 ,         0.25871 ,            0.12593 ,     0.94658 ,     3.09917 ,     2.40459 ,     1.24735 ,           0 ,0.008218   ,0.008218   ,0.008218
   20 , 3867.91  ,       1.0092  ,       3.20674 ,       1.84955 ,       1.41638 ,             0 ,             0.33037 ,          0.44437 ,         0.28643 ,            0.20588 ,             0.31283 ,          0.41299 ,         0.25279 ,            0.1174  ,     0.9576  ,     3.01352 ,     2.17509 ,     1.28683 ,           0 ,0.008119   ,0.008119   ,0.008119
   21 , 4060.3   ,       1.00238 ,       3.16681 ,       1.77118 ,       1.40243 ,             0 ,             0.31109 ,          0.43919 ,         0.30165 ,            0.22885 ,             0.29267 ,          0.41627 ,         0.26661 ,            0.12589 ,     0.92044 ,     2.99586 ,     2.32915 ,     1.25072 ,           0 ,0.00802    ,0.00802    ,0.00802
   22 , 4254.84  ,       0.99871 ,       3.19377 ,       1.69941 ,       1.39715 ,             0 ,             0.38484 ,          0.4014  ,         0.34488 ,            0.25582 ,             0.35477 ,          0.39933 ,         0.30909 ,            0.15933 ,     0.93882 ,     2.89828 ,     2.13976 ,     1.24843 ,           0 ,0.007921   ,0.007921   ,0.007921
   23 , 4446.6   ,       0.9956  ,       3.10367 ,       1.63348 ,       1.37754 ,             0 ,             0.38068 ,          0.41927 ,         0.34862 ,            0.2675  ,             0.36874 ,          0.41    ,         0.32493 ,            0.16459 ,     0.92423 ,     2.96796 ,     1.92798 ,     1.22697 ,           0 ,0.007822   ,0.007822   ,0.007822
   24 , 4639.36  ,       0.99183 ,       3.09039 ,       1.66292 ,       1.3819  ,             0 ,             0.38825 ,          0.39911 ,         0.34676 ,            0.26267 ,             0.3733  ,          0.39325 ,         0.31722 ,            0.16106 ,     0.9515  ,     2.92275 ,     2.1898  ,     1.24109 ,           0 ,0.007723   ,0.007723   ,0.007723
   25 , 4827.31  ,       0.96239 ,       3.0457  ,       1.71976 ,       1.35645 ,             0 ,             0.37747 ,          0.38616 ,         0.361   ,            0.26452 ,             0.35832 ,          0.36747 ,         0.32587 ,            0.1646  ,     0.90954 ,     2.95245 ,     2.05339 ,     1.21684 ,           0 ,0.007624   ,0.007624   ,0.007624
   26 , 5017.74  ,       0.97527 ,       3.06088 ,       1.65051 ,       1.38    ,             0 ,             0.32858 ,          0.42982 ,         0.31935 ,            0.23593 ,             0.3301  ,          0.41235 ,         0.29276 ,            0.14353 ,     0.90408 ,     2.86022 ,     2.03029 ,     1.20842 ,           0 ,0.007525   ,0.007525   ,0.007525
   27 , 5206.07  ,       0.96134 ,       2.98207 ,       1.69139 ,       1.35693 ,             0 ,             0.38615 ,          0.37868 ,         0.34049 ,            0.24935 ,             0.36474 ,          0.35646 ,         0.29851 ,            0.14823 ,     0.92719 ,     2.86773 ,     1.77114 ,     1.22411 ,           0 ,0.007426   ,0.007426   ,0.007426
   28 , 5397.95  ,       0.94511 ,       3.0031  ,       1.63313 ,       1.34336 ,             0 ,             0.4215  ,          0.41966 ,         0.35246 ,            0.25952 ,             0.40239 ,          0.39595 ,         0.31789 ,            0.15597 ,     0.89818 ,     2.8559  ,     1.88971 ,     1.20756 ,           0 ,0.007327   ,0.007327   ,0.007327
